//////////////////////////////////////////////////
			MAIN START
//////////////////////////////////////////////////

( void , void , 2 )
( main , main , 1 )
( ( , ( , 1 )
( ) , ) , 1 )
( { , { , 2 )

//////////////////////////////////////////////////
			WHEN
//////////////////////////////////////////////////
( when , ) , 1 )
( ( , ) , 1 )
( Const , ) , 1 )
( ) , ) , 1 )
( { , ) , 1 )
( case , ) , 1 )
( Const , ) , 1 )
( : , ) , 1 )
( DT , int , 2 )
( ID , x , 1 )
( = , = , 1 )
( Const , 12 , 2 )
( ; , ; , 2 )
( default , ; , 2 )
( : , ; , 2 )
( DT , int , 2 )
( ID , x , 1 )
( = , = , 1 )
( Const , 12 , 2 )
( ; , ; , 2 )
( } , } , 1 ) 

//////////////////////////////////////////////////
			STRUCTURE
//////////////////////////////////////////////////
( struct , { , 2 )
( ID , { , 2 )
( { , { , 2 )
( ID , int , 2 )
( * , int , 2 )
( ID , int , 2 )
( ; , ; , 2 )
( DT , x , 1 )
( ID , x , 1 )
( = , = , 1 )
( Const , 12 , 2 )
( ; , ; , 2 )
( } , { , 2 )
( ID , { , 2 )
( ; , { , 2 )

//////////////////////////////////////////////////
			MAIN END
//////////////////////////////////////////////////
( } , } , 1 )
